day,name,address,city,codes,map
"Tuesday, PM 12:00",We Care Step Study,First Congregational Church: Hamilton & Leigh,"San Jose, Willow Glen","O,Wh","http://maps.google.com/maps?q=E+Hamilton+Ave+%26+Leigh,+San+Jose,+CA+95125&spn=0.021795,0.036489&hl=en"
"Tuesday, AM 07:30",Early Bird,Denny's Restaurant:  1390 S. 1st @ Alma,"San Jose, Downtown","O,Wh","http://maps.google.com/maps?f=q&hl=en&geocode=&q=1390+s.+first+st.,+san+jose,+ca&sll=37.0625,-95.677068&sspn=45.736609,81.738281&ie=UTF8&z=16&om=1"
"Tuesday, PM 12:00",Unconditional Love,Cornerstone Fellowship Group:  1600 Dell Ave. (2nd Floor),Campbell,O,"http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=1600+Dell+Ave.,+Campbell+CA&aq=&sll=37.277003,-121.952999&sspn=0.071985,0.209255&ie=UTF8&hq=&hnear=1600+Dell+Ave,+Campbell,+California+95008&z=16"
"Tuesday, PM 12:00",12 O'Clock Get Together,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"Tuesday, PM 06:00",Back to Basics,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",O,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"Monday, PM 06:00",Basic 12 & 12,Denny's Restaurant:  1390 S. 1st @ Alma,"San Jose, Downtown",O,"http://maps.google.com/maps?f=q&hl=en&q=1390+S+1st+St,+San+Jose,+Santa+Clara,+California+95110,+United+States&layer=&ie=UTF8&sll=37.0625,-95.677068&sspn=50.777825,82.265625&z=17&om=1&iwloc=addr"
"Saturday, PM 07:00","Bottoms Up (Adults only, please)",Emergency Housing Consortium:  2011 Little Orchard St.,"San Jose, South","O, Wh","http://maps.google.com/maps?f=q&source=s_q&hl=en&geocode=&q=2011+Little+Orchard+St.,+San+Jose,+CA&sll=37.320052,-121.877636&sspn=0.734994,1.230469&ie=UTF8&z=16&iwloc=addr"
"Tuesday, PM 10:00",Ten O'Clock High,"Immanuel Lutheran Church: 14103 Saratoga Avenue, Lower Fellowship Hall Downstairs",Saratoga,O,"http://maps.google.com/maps?q=14103+Saratoga+Ave+saratoga,+ca&spn=0.021804,0.036489&hl=en"
"Thursday, PM 10:00",Ten O'Clock High,"Immanuel Lutheran Church: 14103 Saratoga Avenue, Lower Fellowship Hall Downstairs",Saratoga,O,"http://maps.google.com/maps?q=14103+Saratoga+Ave+saratoga,+ca&spn=0.021804,0.036489&hl=en"
"Tuesday, PM 09:30",Closed Men's Topic Meeting,Alano Club of San Jose: 1122 Fair Ave. & McLaughlin (btwn. Tully & Story),"San Jose, East",C,"http://maps.google.com/maps?q=1122+Fair+Ave,+san+jose+ca&spn=0.020508,0.035397&hl=en"
"Tuesday, PM 12:00",Happiness is Sobriety,"Serenity First Fellowship: 304 N. 6th St, at Julian (upstairs)","San Jose, Downtown",O,"http://maps.google.com/maps?q=304+N+6th+St,+San+Jose,+CA+95112&hl=en"
